HC,HC-TL,PC-stable,PCS-TL
-38300.88947595992,-37946.14402709806,-39002.519320537394,-37157.28168986773
-38565.43607353229,-37719.50719530792,-38557.40306983063,-37063.34686891221
-41001.35995721467,-38156.85116909585,-42865.795308883266,-37713.296948262745
-38688.56960017257,-37439.3018054351,-37962.4190837351,-37441.11603157322
-38352.653076559254,-37421.514083089525,-37869.78264745815,-37330.73898054298
-27735.219029084124,-27295.287454106045,-30771.686986652185,-29466.201339751904
-27152.128695496198,-26495.564303728137,-29570.237696970173,-28696.371470730868
-51066.3995990778,-28544.098782719568,-34157.32584730527,-29369.606621336497
-27383.946916746852,-26929.197997258536,-29745.805808486755,-28650.288456374063
-27479.52740995906,-27091.384672849712,-29284.106782620598,-28460.535791589344
-11682.063442293584,-9867.219401268207,-26128.108998496722,-13425.11917364453
-10553.254190104217,-9737.930531516255,-13517.260228582587,-12525.758991503944
-30463.05309431665,-11105.858470843998,-27981.471307935735,-13163.493470565658
-10575.907234649363,-9691.912423221876,-14257.045390096284,-13048.9301142987
-10583.375054944536,-9893.886305886024,-12187.710682911247,-12975.556696828598
-39440.26255563774,-40779.313278790236,-35238.12094320043,-38076.1965330491
-42820.619631573936,-40547.1938297222,-35685.5898232053,-38395.102353003764
-46168.200101723334,-40323.897198268896,-40682.43869556223,-40855.46089609551
-40366.48962075325,-41442.425642237344,-37303.023993692244,-39066.63021969297
-39717.68787231422,-40257.22084242134,-37893.0940406764,-39744.31411311942
-56932.79483677598,-54477.854463821546,-60754.70579189924,-59270.967647363905
-56254.03255940374,-54323.16035766487,-60306.34329152067,-60059.616375112615
-60937.86624802264,-56760.46309920558,-69599.12359325094,-60389.22126257346
-55597.11665132516,-53469.19193115254,-59778.489857901026,-58161.64100048537
-53729.091572626414,-53461.80396440852,-59476.02213598477,-58688.877105459855
-17012.877023936388,-16470.912487430134,-16970.98041862954,-16406.2675990189
-16186.053927885941,-16115.023969309841,-16347.023297427346,-16231.340751052992
-18045.274608055475,-16638.854375909494,-17920.40161842526,-16488.476218512656
-16065.6298086123,-16031.561323867541,-16237.63963674393,-16092.073208156295
-15827.080735065836,-15899.509431563363,-16062.680859727707,-15969.088323468395
-31347.538451759512,-30803.011616344036,-31823.06449071979,-31231.593975816784
-30675.5264692366,-30317.913186527585,-31237.336624746036,-31159.995243031677
-34023.87831027027,-31791.682720287703,-34019.69564713375,-31502.224966641606
-30459.971333888272,-30070.05374449868,-31156.316211578775,-31065.38716965642
-30083.767404960603,-29946.76484649733,-30749.5269448594,-30971.009909120407
-18880.44734619385,-18432.371304017634,-19517.26862048284,-19051.380836017706
-18483.530669682754,-18299.191739685808,-19574.66177847642,-18824.308247132867
-20419.06495488083,-18928.013843074204,-22146.31318734946,-19358.13489707263
-18278.96410685423,-18205.284562641533,-18863.224604274696,-18658.33537193815
-18210.5076064544,-18155.79390385307,-18600.512517857376,-18606.638626199914
-35276.76044654724,-34977.36608699399,-35409.461813573005,-35669.9551622325
-34521.489898230866,-34700.3104130266,-34704.0461664597,-35227.05728679713
-38162.80470054439,-35427.04391025883,-39357.32907204067,-35752.37990101473
-34273.65632808185,-34465.97514633704,-34411.53382934917,-35056.1175090199
-34047.07405246292,-34361.80837926127,-34108.73347746132,-34829.79811892023
-81552.82781647307,-81276.66646427602,-81858.80175321763,-81370.4352774736
-80469.30449369691,-80477.83333432628,-81052.40249004799,-80577.23767110816
-88946.7691621594,-86229.78358176434,-89043.33348510608,-85795.78584546516
-80211.94727596444,-80193.2723021267,-80755.2814275548,-80375.434879936
-79740.84609490055,-79746.97081947816,-80287.77028568414,-80006.92614463717
-51693.253184641915,-51677.164083866235,-51738.204048880514,-51621.91033552901
-51351.235117474804,-51323.29116854307,-51220.42577598242,-51201.85130584956
-54476.51446447937,-54619.28716803057,-57076.271363729065,-54166.91124387821
-51137.833205406416,-51100.06801122541,-51136.973298052304,-51112.89576150703
-50941.375998790936,-50814.14491822978,-50952.34526043655,-50846.21980498949
